length,row_i,col_j,solenoid_length_m,ri,rf,th,a,a_sc,v,v_bore,b0,scan,je_sc,je_max,stress,rebco_pancake_length,rebco_total_length,j_crit,margin,converged,slope_deg
8m,1,28,8.0,1.4486206896551723,1.4623394951408348,0.0137188054856622,0.1254591776287646,0.0250918355257529,52.741105283430926,52.741105283430926,4.22504529234956,4.838584875045493,260.7987623801463,497.37548545547554,750.0000000000001,250.9183552575205,501836.7105150409,994.7509709109512,3.814247283355506,True,0.13593597328038953
8m,1,29,8.0,1.5,1.5132530841044811,0.0132530841044811,0.1254591776287646,0.0250918355257529,56.54866776461627,56.54866776461627,4.080970064092385,4.406357202172697,261.8454752859708,500.82283837037176,749.9999999999997,250.9183552575257,501836.7105150514,1001.6456767407436,3.825331240292812,True,0.06934346029514822
9m,1,15,9.0,0.7806896551724138,0.8058605550868875,0.0251708999144736,0.1254591776287646,0.0250918355257529,17.232537465304553,17.232537465304553,7.795800570766467,17.37537856017438,250.2637309489417,425.87307500995786,750.0,250.91835525752617,564566.2993294338,851.7461500199157,3.4033942784689293,True,0.24598770062092498
9m,1,16,9.0,0.8320689655172414,0.8557298989334522,0.0236609334162107,0.1254591776287646,0.0250918355257529,19.57541735538371,19.57541735538371,7.321276959073505,14.604627472791243,250.52501660618003,434.06093912962945,750.0000000000002,250.9183552575248,564566.2993294308,868.1218782592589,3.465210341145004,True,0.2344728270204625
9m,1,17,9.0,0.883448275862069,0.9057680457354336,0.0223197698733644,0.1254591776287646,0.0250918355257529,22.06757631479013,22.06757631479013,6.900886015230697,12.409083944358898,250.85486790152237,441.6092176097008,749.9999999999995,250.9183552575257,564566.2993294328,883.2184352194016,3.520834347795575,True,0.2238503716986112
9m,1,18,9.0,0.9348275862068964,0.9559484884056968,0.0211209021988002,0.1254591776287646,0.0250918355257529,24.709014343523805,24.709014343523805,6.525909314971758,10.644511110517854,251.24511113910177,448.5895762059569,750.0000000000001,250.91835525752344,564566.2993294278,897.1791524119138,3.5709317818932247,True,0.21399233899137718
9m,1,19,9.0,0.9862068965517242,1.0062499388113808,0.0200430422596565,0.1254591776287646,0.0250918355257529,27.499731441584743,27.499731441584743,6.189397355184308,9.208444900933433,251.6895341488248,455.0634495195387,749.9999999999999,250.9183552575252,564566.2993294316,910.1268990390774,3.6160697031642033,True,0.20479825981350563
9m,1,20,9.0,1.0375862068965518,1.0566551155858273,0.0190689086892754,0.1254591776287646,0.0250918355257529,30.43972760897293,30.43972760897293,5.885744238869136,8.026628787033381,252.1833322542299,461.0837832526126,749.9999999999998,250.91835525752904,564566.2993294403,922.1675665052252,3.656734797903193,True,0.19618770408793065
9m,1,21,9.0,1.0889655172413792,1.1071498517782083,0.0181843345368291,0.1254591776287646,0.0250918355257529,33.52900284568838,33.52900284568838,5.610379046486071,7.04428612684267,252.72272749512425,466.69643746751666,749.9999999999999,250.91835525753552,564566.2993294549,933.3928749350332,3.693347583679593,True,0.18809517494766587
9m,1,22,9.0,1.140344827586207,1.157722428889732,0.0173776013035249,0.1254591776287646,0.0250918355257529,36.7675571517311,36.7675571517311,5.359538283936877,6.2203644685126935,253.30470204015376,471.94132387545824,750.0000000000002,250.9183552575364,564566.2993294569,943.8826477509164,3.726273693890185,True,0.18046653740775065
