row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_sc,je_max,je_coil,stress,length_sc,j_crit,margin,converged,f_sc,length_sc_km,pancake_length_m
0,40,10.0,0.612020202020202,0.614020202020202,0.002,11.767423631466304,11.767423631466304,2.4818908642134354,6032.156204070615,1085.8681578297117,1085.8681578297117,994.9073451656622,750.0000000000001,117635.64544000252,1809.7802630495196,1.6666666666666667,True,0.9162321760628382,117.63564544000252,47.05425817600101
0,41,10.0,0.6270707070707071,0.6290707070707071,0.002,12.353297485680807,12.353297485680807,2.451925681931976,5385.620147416523,1087.5954419625552,1087.5954419625552,983.2569886605045,749.9999999999999,118923.2625899581,1812.6590699375922,1.6666666666666667,True,0.9040650141804815,118.9232625899581,47.56930503598324
0,42,10.0,0.6421212121212121,0.6441212121212121,0.002,12.953403866882827,12.953403866882827,2.423020290481828,4821.328290200373,1089.267345632898,1089.267345632898,972.0314718123764,750.0000000000003,120198.01341172682,1815.44557605483,1.6666666666666667,True,0.8923718090966879,120.19801341172682,48.07920536469073
0,43,10.0,0.6571717171717172,0.6591717171717172,0.002,13.567742775072368,13.567742775072368,2.3951136574301475,4327.24431198156,1090.886827271381,1090.886827271381,961.2064663956965,749.9999999999999,121460.43042259247,1818.1447121189683,1.6666666666666667,True,0.881123909800935,121.46043042259247,48.58417216903699
0,44,10.0,0.6722222222222223,0.6742222222222223,0.002,14.196314210249435,14.196314210249435,2.368149560372513,3893.3138228986177,1092.4566261548482,1092.4566261548482,950.7595593339419,749.9999999999999,122711.01664708929,1820.7610435914137,1.6666666666666667,True,0.8702950181924918,122.71101664708928,49.08440665883572
0,45,10.0,0.6872727272727273,0.6892727272727273,0.002,14.839118172414016,14.839118172414016,2.3420761102636907,3511.103252142975,1093.9792830007866,1093.9792830007866,940.6700629596239,750.0000000000002,123950.24789422282,1823.2988050013112,1.6666666666666667,True,0.8598609476217545,123.95024789422281,49.580099157689126
0,46,10.0,0.7023232323232323,0.7043232323232324,0.002,15.496154661566122,15.496154661566122,2.316845331240138,3173.5106030645934,1095.4571582324274,1095.4571582324274,930.9188477633588,750.0,125178.57481300176,1825.7619303873792,1.6666666666666667,True,0.8497994109285305,125.17857481300176,50.071429925200704
0,47,10.0,0.7173737373737373,0.7193737373737373,0.002,16.16742367770574,16.16742367770574,2.292412789188691,2874.532613069804,1096.8924482208045,1096.8924482208045,921.4881945440255,750.0,126396.42475160556,1828.1540803680075,1.6666666666666667,True,0.840089833819815,126.39642475160557,50.558569900642226
0,48,10.0,0.7324242424242424,0.7344242424242424,0.002,16.852925220832898,16.852925220832898,2.2687372625159434,2609.0764225347116,1098.287199764386,1098.287199764386,912.3616633520587,749.9999999999999,127604.2034422398,1830.4786662739768,1.6666666666666667,True,0.8307131900907033,127.6042034422398,51.04168137689592
0,49,10.0,0.7474747474747475,0.7494747474747475,0.002,17.552659290947567,17.552659290947567,2.2457804495664684,2372.806547470314,1099.643323028788,1099.643323028788,903.5239770221857,749.9999999999999,128802.29653196808,1832.7388717146468,1.6666666666666667,True,0.8216518557431662,128.80229653196807,51.520918612787234
0,50,10.0,0.7625252525252525,0.7645252525252525,0.002,18.266625888049752,18.266625888049752,2.2235067079640687,2162.0199931413454,1100.9626031371781,1100.9626031371781,894.9609174096519,750.0,129991.07097573388,1834.937671895297,1.6666666666666667,True,0.8128894794968264,129.9910709757339,51.99642839029355
0,51,10.0,0.7775757575757576,0.7795757575757576,0.002,18.99482501213946,18.99482501213946,2.201882821839722,1973.5439055137952,1102.246710575199,1102.246710575199,886.6592327252212,750.0,131170.8763066832,1837.0778509586648,1.6666666666666667,True,0.8044108675656877,131.1708763066832,52.46835052267328
0,52,10.0,0.7926262626262626,0.7946262626262626,0.002,19.73725666321669,19.73725666321669,2.180877793487528,1804.6513551487017,1103.497210551624,1103.497210551624,878.6065545949648,750.0000000000003,132342.04579698108,1839.16201758604,1.6666666666666667,True,0.7962018808871848,132.34204579698107,52.93681831879243
0,53,10.0,0.8076767676767677,0.8096767676767677,0.002,20.49392084128145,20.49392084128145,2.160462656475658,1652.9917729519213,1104.7155714368548,1104.7155714368548,870.7913236625113,749.9999999999997,133504.89752078062,1841.1926190614247,1.6666666666666667,True,0.7882493432494225,133.50489752078062,53.40195900831225
0,54,10.0,0.8227272727272728,0.8247272727272728,0.002,21.264817546333724,21.264817546333724,2.140610307649163,1516.5332749512327,1105.9031723851292,1105.9031723851292,863.202722700391,749.9999999999999,134659.73532728318,1843.1719539752155,1.6666666666666667,True,0.7805409589690387,134.6597353272832,53.86389413091327
0,55,10.0,0.8377777777777777,0.8397777777777777,0.002,22.049946778373513,22.049946778373513,2.12129535580839,1393.5146731369389,1107.0613102324924,1107.0613102324924,855.8306163707124,749.9999999999999,135806.84973600967,1845.1021837208207,1.6666666666666667,True,0.7730652389893209,135.80684973600967,54.32273989440387
0,56,10.0,0.8528282828282828,0.8548282828282828,0.002,22.84930853740083,22.84930853740083,2.1024939851414968,1282.4054082039204,1108.191205750774,1108.191205750774,848.6654968535021,749.9999999999998,136946.51875965952,1846.9853429179568,1.6666666666666667,True,0.7658114343892043,136.9465187596595,54.77860750386381
0,57,10.0,0.8678787878787879,0.8698787878787879,0.002,23.66290282341567,23.66290282341567,2.0841838317405412,1181.8719855406657,1109.294009327697,1109.294009327697,841.6984346795646,750.0000000000001,138079.00866160766,1848.8233488794951,1.6666666666666667,True,0.7587694764435693,138.07900866160765,55.231603464643065
0,58,10.0,0.8829292929292929,0.8849292929292929,0.002,24.490729636418024,24.490729636418024,2.066343871745137,1090.749769070163,1110.3708061345542,1110.3708061345542,834.9210341993692,750.0,139204.57465593435,1850.618010224257,1.6666666666666667,True,0.751929922496714,139.20457465593435,55.68182986237374
0,59,10.0,0.897979797979798,0.899979797979798,0.002,25.332788976407908,25.332788976407908,2.0489543198415046,1008.0192045932297,1111.4226208354028,1111.4226208354028,828.3253931672187,750.0,140323.46155316645,1852.3710347256713,1.6666666666666667,True,0.7452839069845515,140.32346155316645,56.12938462126658
0,60,10.0,0.9130303030303031,0.9150303030303031,0.002,26.189080843385312,26.189080843385312,2.0319965370026685,932.7857173934589,1112.450421885257,1112.450421885257,821.9040660087081,750.0,141435.9043584976,1854.0840364754283,1.6666666666666667,True,0.7388230970471805,141.4359043584976,56.57436174339904
0,61,10.0,0.9280808080808081,0.9300808080808081,0.002,27.059605237350226,27.059605237350226,2.0154529464916453,864.2626674791773,1113.4551254591588,1113.4551254591588,815.650030371782,750.0000000000006,142542.12882501155,1855.7585424319313,1.6666666666666667,True,0.7325396522248079,142.54212882501156,57.016851530004615
0,62,10.0,0.9431313131313132,0.9451313131313132,0.002,27.94436215830267,27.94436215830267,1.9993069572670246,801.7568572617095,1114.4375990491465,1114.4375990491465,809.5566566333199,750.0,143642.3519683683,1857.395998415244,1.6666666666666667,True,0.7264261878135168,143.6423519683683,57.45694078734733
