candidate_rank,source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,length_tape_km,pancake_length_m,scan_error_yrs,abs_scan_error_yrs,target_scan_yrs,scan_margin_yrs,search_pool,pick_rule
8,thickness_grids_L5000mm.csv,101,64,149,5.0,1.5,1.575429485158326,0.0754294851583262,35.34291735288517,35.34291735288517,8.567138151299815,1.0869015237560822,1102.031237423839,1102.031237423839,106.11177567437768,750.0,584770.184207364,2755.0780935595976,True,0.0962874481874303,584.770184207364,467.8161473658912,0.08690152375608218,0.08690152375608218,1.0,0.25,pareto,closest
9,thickness_grids_L5000mm.csv,100,64,148,5.0,1.49,1.565429485158326,0.0754294851583262,34.8732492511735,34.8732492511735,8.60551349556255,1.1163303261024338,1100.4149271544015,1100.4149271544015,106.39730367869208,749.9999999999999,583386.2442739581,2751.0373178860036,True,0.096688350051583,583.3862442739581,466.7089954191665,0.11633032610243377,0.11633032610243377,1.0,0.25,pareto,closest
10,thickness_grids_L5000mm.csv,99,64,147,5.0,1.48,1.555429485158326,0.0754294851583262,34.40672274211541,34.40672274211541,8.644182915303361,1.1468354533378982,1098.791483087776,1098.791483087776,106.68567507928655,750.0,581996.9969035202,2746.97870771944,True,0.0970936494515621,581.9969969035202,465.59759752281616,0.14683545333789816,0.14683545333789816,1.0,0.25,pareto,closest
11,thickness_grids_L5000mm.csv,98,63,149,5.0,1.5,1.5731527408675283,0.0731527408675285,35.34291735288517,35.34291735288517,8.444274959030247,1.1515526894085903,1107.2412720510115,1107.2412720510115,107.82323789048516,750.0,573130.4452146245,2768.1031801275285,True,0.0973800747968484,573.1304452146245,458.5043561716996,0.15155268940859035,0.15155268940859035,1.0,0.25,pareto,closest
12,thickness_grids_L5000mm.csv,97,63,148,5.0,1.49,1.5631527408675283,0.0731527408675285,34.8732492511735,34.8732492511735,8.482138293549648,1.182710594456993,1105.6299174046103,1105.6299174046103,108.11392332011734,750.0000000000002,571767.6853634132,2764.0747935115264,True,0.0977849112240986,571.7676853634132,457.41414829073057,0.1827105944569929,0.1827105944569929,1.0,0.25,pareto,closest
13,thickness_grids_L5000mm.csv,96,63,147,5.0,1.48,1.5531527408675283,0.0731527408675285,34.40672274211541,34.40672274211541,8.52029232217978,1.2150073979228508,1104.011387135879,1104.011387135879,108.40750822193824,750.0000000000001,570399.7406880951,2760.0284678396974,True,0.0981941939051718,570.3997406880951,456.3197925504761,0.21500739792285084,0.21500739792285084,1.0,0.25,pareto,closest
14,thickness_grids_L5000mm.csv,95,62,149,5.0,1.5,1.5709118508175308,0.0709118508175307,35.34291735288517,35.34291735288517,8.321136480509402,1.2212447163975162,1112.5175139058265,1112.5175139058265,109.58661286977572,750.0,561571.9990473231,2781.2937847645658,True,0.0985032698362105,561.5719990473232,449.2575992378585,0.2212447163975162,0.2212447163975162,1.0,0.25,pareto,closest
0,thickness_grids_L5000mm.csv,72,55,147,5.0,1.48,1.5362295392099454,0.0562295392099454,34.40672274211541,34.40672274211541,7.519686235205011,2.0026175800631063,1148.255269333243,1148.255269333243,124.285032747485,750.0000000000001,480593.53473612625,2870.6381733331073,True,0.1082381558062899,480.59353473612623,384.474827788901,0.002617580063106306,0.002617580063106306,2.0,0.25,pareto,closest
1,thickness_grids_L5000mm.csv,71,54,149,5.0,1.5,1.5542754830863474,0.0542754830863474,35.34291735288517,35.34291735288517,7.32702454278415,2.03152744407746,1157.2258593107954,1157.2258593107954,125.8847918676097,750.0000000000001,472101.8113610043,2893.0646482769885,True,0.1087815233774523,472.1018113610043,377.68144908880345,0.03152744407746022,0.03152744407746022,2.0,0.25,pareto,closest
2,thickness_grids_L5000mm.csv,73,55,148,5.0,1.49,1.5462295392099454,0.0562295392099454,34.8732492511735,34.8732492511735,7.485756072764998,1.9496524408172793,1149.8240266833998,1149.8240266833998,123.94364095144633,750.0000000000002,481793.15190422133,2874.560066708499,True,0.1077935736905363,481.79315190422136,385.43452152337704,-0.050347559182720714,0.050347559182720714,2.0,0.25,pareto,closest
3,thickness_grids_L5000mm.csv,70,54,148,5.0,1.49,1.5442754830863474,0.0542754830863474,34.8732492511735,34.8732492511735,7.3601566064008015,2.086179446238391,1155.6722522396612,1155.6722522396612,126.22956619265996,750.0000000000001,470927.1573959606,2889.180630599153,True,0.1092260941179737,470.9271573959606,376.7417259167685,0.08617944623839113,0.08617944623839113,2.0,0.25,pareto,closest
4,thickness_grids_L5000mm.csv,74,55,149,5.0,1.5,1.5562295392099454,0.0562295392099454,35.34291735288517,35.34291735288517,7.452088008038026,1.89854710907408,1151.3853202819653,1151.3853202819653,123.6056613131462,749.9999999999999,482988.5048246688,2878.463300704913,True,0.107353862460984,482.9885048246688,386.39080385973506,-0.10145289092592003,0.10145289092592003,2.0,0.25,pareto,closest
5,thickness_grids_L5000mm.csv,75,56,147,5.0,1.48,1.5382194495743435,0.0582194495743435,34.40672274211541,34.40672274211541,7.64560939440667,1.8739089116509489,1142.474032214609,1142.474032214609,122.0686653434233,749.9999999999998,491524.7531872333,2856.1850805365225,True,0.1068458992514704,491.5247531872333,393.2198025497866,-0.12609108834905114,0.12609108834905114,2.0,0.25,pareto,closest
6,thickness_grids_L5000mm.csv,69,54,147,5.0,1.48,1.5342754830863474,0.0542754830863474,34.40672274211541,34.40672274211541,7.393547008795435,2.142819298789653,1154.11115231728,1154.11115231728,126.5778261169428,750.0,469748.3469524703,2885.2778807931995,True,0.1096755939519289,469.7483469524703,375.79867756197626,0.14281929878965283,0.14281929878965283,2.0,0.25,pareto,closest
7,thickness_grids_L5000mm.csv,76,56,148,5.0,1.49,1.5482194495743435,0.0582194495743435,34.8732492511735,34.8732492511735,7.611141953975484,1.824318218095688,1144.0501069513527,1144.0501069513527,121.73392053946596,749.9999999999998,492745.2250228664,2860.125267378382,True,0.1064061091378774,492.7452250228664,394.1961800182931,-0.17568178190431194,0.17568178190431194,2.0,0.25,pareto,closest
